id,object,feature,descript,manual
1,user,Update profile,"Update personal info like name, role, and avatar.","Go to ""Account"" > ""Profile"" > Edit name, role, upload avatar > Save changes."
2,user,Messaging,Send chat messages between buyer-seller-shipper for order discussions.,"Go to order > Tap ""Chat"" > Type message > Send (supports photos and attachments)."
3,user,View products,Browse and search products from all sellers on the platform.,"Open ""Home"" tab > Use search bar > Filter by category/price > View product details."
4,user,Register,"Register new account by entering unique email and password. System sends confirmation code; if verified correctly, data is saved to Clerk; otherwise, error returned.","Open app > Tap ""Register"" > Enter email (must be unique) and password > Submit > Check email for code > Enter code to verify > Account created if successful."
5,user,Login,"Log in by entering email and password, authenticated with Clerk. Success grants access; failure shows error message.","Open app > Tap ""Login"" > Enter email and password > Submit > Authenticated with Clerk > Access granted if correct, else error message."
6,user,Forgot Password,"Reset password by entering email to receive OTP, then enter new strong password. Must match OTP and meet password strength requirements.","Go to ""Login"" > Tap ""Forgot Password"" > Enter email > Receive OTP via email > Enter OTP and new strong password > Confirm > Password reset if valid."
7,user,Notifications,"Manage and view push notifications for orders, promotions, updates.","Go to ""Notifications"" > Read new alerts > Enable/disable types in settings."
8,user,Rate products/Orders,Rate and review products or services after completion.,"Go to ""Orders"" > Select completed order > Tap ""Rate"" > Select stars and write comment > Submit."
9,user,Customer support,View FAQ or contact support via chat/email for general issues.,"Go to ""Help"" > Select topic (Account/Orders) > Submit question > Track response."
10,user,Create wallet,Create and manage an internal wallet for quick payments without immediate bank linking.,"Log in > Go to ""My Wallet"" > Tap ""Create New Wallet"" > Verify phone number > Top up via transfer."
11,user,Link bank account,"Connect a bank account for secure, automatic payments.","Go to ""Settings"" > ""Payments"" > ""Link Bank"" > Select bank > Enter details > Confirm with OTP."
12,buyer,Purchase items (including wishlist and cart),"Feature allowing buyers to search, select products, add to wishlist/cart, and place orders from sellers on the platform.","Open app > Select ""Products"" tab > Search keyword > Choose product > Add to wishlist or cart > From wishlist/cart: Checkout."
13,buyer,Add delivery address,Save delivery addresses for easy repeat orders.,"Go to ""Account"" > ""Addresses"" > Tap ""+"" > Enter full address (house number, ward, district) > Save as default."
14,buyer,Track orders,View real-time order status from placement to successful delivery.,"Go to ""My Orders"" > Select order > View timeline (Processing > Shipping > Completed)."
15,buyer,Manage wishlist,Add/remove products to/from wishlist for later purchase.,"Go to product > Tap ""Add to Wishlist"". Go to ""Wishlist"" > Select item > Add to cart or remove."
16,buyer,Manage shopping cart,"Add items from products or wishlist to cart, review, and proceed to checkout.","From product/wishlist > ""Add to Cart"". Go to ""Cart"" > Adjust quantities > Checkout."
17,buyer,Checkout and payment,"Select delivery address, choose payment method (wallet, linked bank, or cash on delivery), and complete order.",From cart > Checkout > Select address > Choose payment (wallet/bank/cash) > Confirm.
18,seller,Post products,"Upload new products with images, descriptions, prices, and inventory.","Go to ""Selling"" > ""Products"" > Tap ""Post New"" > Upload photos > Enter name, price, description > Publish."
19,seller,Accept orders,Review and confirm orders from buyers to start processing.,"Go to ""Orders"" > Select new order > Tap ""Accept"" > Update estimated delivery time > Notify buyer."
20,seller,Update orders,"Update order status (from pending to shipping, delivery, cancel, or refund) during processing.","Go to ""Orders"" > Select order > Choose action (Accept > Ship > Complete/Cancel) > Add notes > Save."
21,seller,Order summary,"Manage and view summary of all orders: processing, completed, or canceled.","Go to ""Selling"" > ""Orders"" > Filter by status (New/Preparing/Shipping) > View details."
22,seller,Calculate revenue,"View revenue reports, profits, and sales stats by day/month.","Go to ""Reports"" > ""Revenue"" > Select time range > View charts and totals."
23,shipper,Update current location,Update real-time GPS location while delivering to buyer.,"Open app > Select ""Delivery Orders"" > Tap ""Start Delivery"" > Allow location sharing > Update on arrival."
24,shipper,Accept delivery orders,View and accept assigned delivery orders from the system.,"Go to ""My Orders"" > Select available order > Tap ""Accept"" > Confirm estimated time."
25,shipper,Update delivery status and complete,"Confirm successful delivery (to delivered) or cancel/update status during delivery, and receive shipping fee.","Go to active order > Update status (Delivering > Delivered/Cancel) > For complete: Tap ""Delivery Complete"" > Take photo (optional) > Receive fee."
