id,object,feature,descript,manual
1,buyer,Purchase items,"Feature allowing buyers to search, select products, and place orders from sellers on the platform.","Open app > Select ""Products"" tab > Search keyword > Choose product > Add to cart > Checkout."
2,buyer,Create wallet,"Create and manage an internal wallet for quick payments without immediate bank linking.","Log in > Go to ""My Wallet"" > Tap ""Create New Wallet"" > Verify phone number > Top up via transfer."
3,buyer,Link bank account,"Connect a bank account for secure, automatic payments.","Go to ""Settings"" > ""Payments"" > ""Link Bank"" > Select bank > Enter details > Confirm with OTP."
4,buyer,Add delivery address,"Save delivery addresses for easy repeat orders.","Go to ""Account"" > ""Addresses"" > Tap ""+"" > Enter full address (house number, ward, district) > Save as default."
5,buyer,Track orders,"View real-time order status from placement to successful delivery.","Go to ""My Orders"" > Select order > View timeline (Processing > Shipping > Completed)."
6,seller,Post products,"Upload new products with images, descriptions, prices, and inventory.","Go to ""Selling"" > ""Products"" > Tap ""Post New"" > Upload photos > Enter name, price, description > Publish."
7,seller,Accept orders,"Review and confirm orders from buyers to start processing.","Go to ""Orders"" > Select new order > Tap ""Accept"" > Update estimated delivery time > Notify buyer."
8,seller,Update orders,"Update order status (shipping, cancel, refund) during processing.","Go to ""Orders"" > Select order > Choose action (Ship > Complete) > Add notes > Save."
9,seller,Track orders,"Manage all orders: processing, completed, or canceled.","Go to ""Selling"" > ""Orders"" > Filter by status (New/Preparing/Shipping) > View details."
10,seller,Calculate revenue,"View revenue reports, profits, and sales stats by day/month.","Go to ""Reports"" > ""Revenue"" > Select time range > View charts and totals."
11,shipper,Update delivery location,"Update real-time GPS location while delivering to buyer.","Open app > Select ""Delivery Orders"" > Tap ""Start Delivery"" > Allow location sharing > Update on arrival."
12,shipper,Accept delivery orders,"View and accept assigned delivery orders from the system.","Go to ""My Orders"" > Select available order > Tap ""Accept"" > Confirm estimated time."
13,shipper,Complete delivery,"Confirm successful delivery and receive shipping fee.","Go to active order > Tap ""Delivery Complete"" > Take photo confirmation (optional) > Receive fee notification."
14,common,Update profile,"Update personal info like profile picture, name, phone number.","Go to ""Account"" > ""Profile"" > Edit info > Upload new photo > Save changes."
15,common,Messaging,"Send chat messages between buyer-seller-shipper for order discussions.","Go to order > Tap ""Chat"" > Type message > Send (supports photos and attachments)."
16,common,View products,"Browse and search products from all sellers on the platform.","Open ""Home"" tab > Use search bar > Filter by category/price > View product details."
17,common,Login/Register,"Create new account or log in to access features.","Open app > Tap ""Login"" > Choose email/phone/Facebook > Verify > Complete."
18,common,Notifications,"Manage and view push notifications for orders, promotions, updates.","Go to ""Notifications"" > Read new alerts > Enable/disable types in settings."
19,common,Rate products/Orders,"Rate and review products or services after completion.","Go to ""Orders"" > Select completed order > Tap ""Rate"" > Select stars and write comment > Submit."
20,common,Customer support,"View FAQ or contact support via chat/email for general issues.","Go to ""Help"" > Select topic (Account/Orders) > Submit question > Track response."
